<p>=F0=9F=98=81</p>,😁
<p>=F0=9F=98=82</p>,😂
<p>=F0=9F=98=83</p>,😃
<p>=F0=9F=98=84</p>,😄
<p>=F0=9F=98=85</p>,😅
<p>=F0=9F=98=86</p>,😆
<p>=F0=9F=98=89</p>,😉
<p>=F0=9F=98=8A</p>,😊
<p>=F0=9F=98=8B</p>,😋
<p>=F0=9F=98=8C</p>,😌
<p>=F0=9F=98=8D</p>,😍
<p>=F0=9F=98=8F</p>,😏
<p>=F0=9F=98=92</p>,😒
<p>=F0=9F=98=93</p>,😓
<p>=F0=9F=98=94</p>,😔
<p>=F0=9F=98=96</p>,😖
<p>=F0=9F=98=98</p>,😘
<p>=F0=9F=98=9A</p>,😚
<p>=F0=9F=98=9C</p>,😜
<p>=F0=9F=98=9D</p>,😝
<p>=F0=9F=98=9E</p>,😞
<p>=F0=9F=98=A0</p>,😠
<p>=F0=9F=98=A1</p>,😡
<p>=F0=9F=98=A2</p>,😢
<p>=F0=9F=98=A3</p>,😣
<p>=F0=9F=98=A4</p>,😤
<p>=F0=9F=98=A5</p>,😥
<p>=F0=9F=98=A8</p>,😨
<p>=F0=9F=98=A9</p>,😩
<p>=F0=9F=98=AA</p>,😪
<p>=F0=9F=98=AB</p>,😫
<p>=F0=9F=98=AD</p>,😭
<p>=F0=9F=98=B0</p>,😰
<p>=F0=9F=98=B1</p>,😱
<p>=F0=9F=98=B2</p>,😲
<p>=F0=9F=98=B3</p>,😳
<p>=F0=9F=98=B5</p>,😵
<p>=F0=9F=98=B7</p>,😷
<p>=F0=9F=98=B8</p>,😸
<p>=F0=9F=98=B9</p>,😹
<p>=F0=9F=98=BA</p>,😺
<p>=F0=9F=98=BB</p>,😻
<p>=F0=9F=98=BC</p>,😼
<p>=F0=9F=98=BD</p>,😽
<p>=F0=9F=98=BE</p>,😾
<p>=F0=9F=98=BF</p>,😿
<p>=F0=9F=99=80</p>,🙀
<p>=F0=9F=99=85</p>,🙅
<p>=F0=9F=99=86</p>,🙆
<p>=F0=9F=99=87</p>,🙇
<p>=F0=9F=99=88</p>,🙈
<p>=F0=9F=99=89</p>,🙉
<p>=F0=9F=99=8A</p>,🙊
<p>=F0=9F=99=8B</p>,🙋
<p>=F0=9F=99=8C</p>,🙌
<p>=F0=9F=99=8D</p>,🙍
<p>=F0=9F=99=8E</p>,🙎 
<p>=F0=9F=99=8F</p>,🙏
<p>=E2=9C=82</p>,✂
<p>=E2=9C=85</p>,✅
<p>=E2=9C=88</p>,✈
<p>=E2=9C=89</p>,✉
<p>=E2=9C=8A</p>,✊
<p>=E2=9C=8B</p>,✋
<p>=E2=9C=8C</p>,✌
<p>=E2=9C=8F</p>,✏
<p>=E2=9C=92</p>,✒
<p>=E2=9C=94</p>,✔
<p>=E2=9C=96</p>,✖
<p>=E2=9C=A8</p>,✨
<p>=E2=9C=B3</p>,✳
<p>=E2=9C=B4</p>,✴
<p>=E2=9D=84</p>,❄
<p>=E2=9D=87</p>,❇
<p>=E2=9D=8C</p>,❌
<p>=E2=9D=8E</p>,❎
<p>=E2=9D=93</p>,❓
<p>=E2=9D=94</p>,❔
<p>=E2=9D=95</p>,❕
<p>=E2=9D=97</p>,❗
<p>=E2=9D=A4</p>,❤
<p>=E2=9E=95</p>,➕
<p>=E2=9E=96</p>,➖
<p>=E2=9E=97</p>,➗
<p>=E2=9E=A1</p>,➡
<p>=E2=9E=B0</p>,➰
<p>=F0=9F=9A=80</p>,🚀
<p>=F0=9F=9A=83</p>,🚃
<p>=F0=9F=9A=84</p>,🚄
<p>=F0=9F=9A=85</p>,🚅
<p>=F0=9F=9A=87</p>,🚇
<p>=F0=9F=9A=89</p>,🚉
<p>=F0=9F=9A=8C</p>,🚌
<p>=F0=9F=9A=8F</p>,🚏
<p>=F0=9F=9A=91</p>,🚑
<p>=F0=9F=9A=92</p>,🚒
<p>=F0=9F=9A=93</p>,🚓
<p>=F0=9F=9A=95</p>,🚕
<p>=F0=9F=9A=97</p>,🚗
<p>=F0=9F=9A=99</p>,🚙
<p>=F0=9F=9A=9A</p>,🚚
<p>=F0=9F=9A=A2</p>,🚢
<p>=F0=9F=9A=A4</p>,🚤
<p>=F0=9F=9A=A5</p>,🚥
<p>=F0=9F=9A=A7</p>,🚧
<p>=F0=9F=9A=A8</p>,🚨
<p>=F0=9F=9A=A9</p>,🚩
<p>=F0=9F=9A=AA</p>,🚪
<p>=F0=9F=9A=AB</p>,🚫
<p>=F0=9F=9A=AC</p>,🚬
